|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn
2602|ништяки|ништяки|ништяки|UNKN|795|44|22|UNKN||||||||||||||||||
3837|уё|уё|уЁ|UNKN|1065|58|28|UNKN||||||||||||||||||
4635|дешманых|дешманых|дешманых|UNKN|1261|65|48|UNKN||||||||||||||||||
7198|потмучто|потмучто|потмучто|UNKN|1950|110|14|UNKN||||||||||||||||||
8633|ивсякие|ивсякие|ивсякие|UNKN|2318|123|11|UNKN||||||||||||||||||
9419|фекальник|фекальник|фекальник|UNKN|2498|132|2|UNKN||||||||||||||||||
9936|газоводы|газоводы|газоводы|UNKN|2656|140|14|UNKN||||||||||||||||||
10347|присвободжить|присвободжить|присвободжить|UNKN|2760|142|36|UNKN||||||||||||||||||
10555|ляминия|ляминия|ляминия|UNKN|2809|147|4|UNKN||||||||||||||||||
11005|мехвода|мехвода|мехвода|UNKN|2927|149|61|UNKN||||||||||||||||||
